mode,qp,size,iters,tx,rx,npaths,bw_avg_gbps,bw_peak_gbps,msgrate_mpps
write_bw,2,2,10000,128,512,,0.144143,0.145100,9.008946
write_bw,2,4,10000,128,512,,0.29,0.29,9.157235
write_bw,2,8,10000,128,512,,0.59,0.59,9.192230
write_bw,2,16,10000,128,512,,1.18,1.18,9.212959
write_bw,2,32,10000,128,512,,2.35,2.36,9.189096
write_bw,2,64,10000,128,512,,4.69,4.71,9.163755
write_bw,2,128,10000,128,512,,9.37,9.42,9.148578
write_bw,2,256,10000,128,512,,18.70,18.72,9.131947
write_bw,2,512,10000,128,512,,37.21,37.28,9.084056
write_bw,2,1024,10000,128,512,,74.24,74.33,9.062790
write_bw,2,2048,10000,128,512,,147.23,147.39,8.986471
write_bw,2,4096,10000,128,512,,293.76,294.36,8.964933
write_bw,2,8192,10000,128,512,,581.57,582.69,8.874005
write_bw,2,16384,10000,128,512,,769.15,769.74,5.868136
write_bw,2,32768,10000,128,512,,770.64,771.02,2.939774
write_bw,2,65536,10000,128,512,,741.25,746.30,1.413820
write_bw,2,131072,10000,128,512,,753.87,756.78,0.718947
write_bw,2,262144,10000,128,512,,759.56,760.52,0.362185
write_bw,2,524288,10000,128,512,,763.15,763.87,0.181949
write_bw,2,1048576,10000,128,512,,764.27,764.34,0.091108
write_bw,2,2097152,10000,128,512,,764.98,765.22,0.045596
write_bw,2,4194304,10000,128,512,,765.82,766.08,0.022823
write_bw,2,8388608,10000,128,512,,765.65,765.65,0.011409
write_with_imm,2,2,10000,128,512,,0.079839,0.140635,4.989940
write_with_imm,2,4,10000,128,512,,0.170408,0.261998,5.325258
write_with_imm,2,8,10000,128,512,,0.35,0.56,5.541999
write_with_imm,2,16,10000,128,512,,0.72,1.09,5.645499
write_with_imm,2,32,10000,128,512,,1.46,2.24,5.711703
write_with_imm,2,64,10000,128,512,,2.75,4.11,5.365751
write_with_imm,2,128,10000,128,512,,5.67,9.02,5.541232
write_with_imm,2,256,10000,128,512,,11.40,17.59,5.566339
write_with_imm,2,512,10000,128,512,,23.28,35.94,5.682554
write_with_imm,2,1024,10000,128,512,,45.17,67.65,5.513547
write_with_imm,2,2048,10000,128,512,,89.38,139.19,5.455336
write_with_imm,2,4096,10000,128,512,,184.40,274.48,5.627307
write_with_imm,2,8192,10000,128,512,,359.02,529.65,5.478191
write_with_imm,2,16384,10000,128,512,,625.85,769.05,4.774835
write_with_imm,2,32768,10000,128,512,,770.57,770.66,2.939477
write_with_imm,2,65536,10000,128,512,,742.06,743.17,1.415370
write_with_imm,2,131072,10000,128,512,,754.32,756.12,0.719376
write_with_imm,2,262144,10000,128,512,,759.86,760.86,0.362327
write_with_imm,2,524288,10000,128,512,,763.08,763.24,0.181933
write_with_imm,2,1048576,10000,128,512,,764.60,764.83,0.091147
write_with_imm,2,2097152,10000,128,512,,765.37,765.54,0.045620
write_with_imm,2,4194304,10000,128,512,,765.72,765.72,0.022820
write_with_imm,2,8388608,10000,128,512,,765.74,765.74,0.011410
